#{"t_start": 1754743158.517612, "env_id": "None"}
r,l,t
551.068207,61,497.709256
215.143783,11,498.32425
641.051393,20,499.486529
350.398664,2,500.169829
636.109699,2,500.874827
650.772257,9,501.786747
636.103254,2,502.507328
224.8781,4,502.939186
638.875847,1,503.589333
225.232362,4,504.03725
624.436059,12,504.991632
617.372545,33,506.457933
622.770066,12,507.40251
481.757459,70,509.887799
554.798535,57,512.004311
618.966724,13,512.951332
631.78354,2,513.640941
540.679544,71,516.119833
569.099145,52,518.093872
635.022651,4,518.849379
606.317246,24,520.107025
600.746526,30,521.471074
621.104596,10,522.385416
623.232541,9,523.290648
571.395564,50,525.234008
355.641423,13,526.222779
633.284535,2,526.902863
603.210986,23,528.101505
309.528941,20,529.19872
346.399628,3,529.900142
617.741441,16,530.939137
607.872234,20,532.093157
566.724736,49,534.051858
322.987626,42,535.818555
623.770461,11,536.733301
615.370884,14,537.771877
601.677381,46,539.504856
314.877295,43,541.250484
229.0,1,541.615566
619.199049,12,542.575297
580.350262,40,544.287683
335.932132,8,545.084702
183.247901,34,546.268677
224.967993,4,546.716748
608.877998,23,547.931175
623.090601,9,548.800635
631.818921,7,549.555285
631.383175,3,550.270505
618.666482,18,551.402949
594.999826,32,552.904529
592.611427,31,554.399304
602.724492,28,555.76732
603.794725,24,556.997025
635.738023,21,558.202927
622.41239,11,559.10311
625.837931,3,559.850962
589.98991,34,561.369718
626.073113,10,562.297187
629.063078,7,563.128819
624.017351,11,564.031054
632.501911,2,564.702616
578.453307,44,566.469272
628.093987,1,567.163521
571.979997,48,569.083594
603.000058,24,570.368946
227.329784,2,570.753953
634.933746,2,571.44776
622.466431,13,572.413157
624.746881,12,573.414489
626.96701,4,574.14611
655.176606,7,574.981677
582.366806,39,576.630761
214.803954,11,577.262463
604.91484,28,578.577392
622.915489,10,579.495515
625.471556,7,580.321123
611.335183,18,581.483019
616.438164,13,582.447285
623.4918,14,583.412402
612.593182,17,584.480107
621.63094,12,585.486528
638.199474,2,586.129703
311.952736,33,587.547264
594.741932,29,588.949234
664.649181,1,589.566771
610.565936,22,590.778233
634.404834,1,591.428265
632.557794,5,592.234446
592.480263,31,593.632441
208.384984,16,594.399019
337.821832,2,595.018501
319.925375,5,595.748491
656.975928,7,596.562325
226.191599,3,596.960815
627.485405,8,597.816123
575.687749,43,599.617562
629.230991,4,600.385899
618.827091,11,601.310119
573.896707,8,602.151954
587.878088,35,603.728315
624.567106,10,604.647618
215.554958,11,605.266022
575.578105,51,607.211872
226.504305,3,607.634223
225.060454,4,608.066982
633.752579,1,608.748377
527.517321,75,611.380196
635.051204,1,612.041588
601.962277,28,613.478179
632.841181,5,614.228298
278.938708,41,615.864202
629.192719,1,616.528218
636.47103,4,617.313643
625.170305,12,618.242
602.86386,26,619.561414
629.248363,1,620.297529
356.259536,1,620.930789
623.547874,9,621.794999
616.061233,14,622.766662
624.266377,12,623.709497
167.109886,48,625.292841
224.183335,4,625.72478
636.16349,4,626.476543
604.199866,22,627.656377
631.889683,3,628.38026
615.618414,18,629.495488
626.482078,10,630.390498
622.828396,6,631.128607
597.327129,34,632.648138
222.139588,6,633.145281
554.447192,21,634.358653
612.759014,18,635.482452
349.540411,12,636.445173
624.785659,5,637.131163
609.826937,15,638.14311
221.859511,7,638.696115
636.265101,22,639.895819
562.973712,13,640.826143
663.381504,1,641.499889
219.846655,8,642.101066
613.234587,11,642.962267
198.129326,24,643.877881
324.580869,12,644.778061
664.678215,2,645.447894
639.092362,19,646.525508
618.533001,13,647.478488
307.778886,24,648.658557
591.755003,34,650.197092
621.6333,15,651.194942
607.950818,25,652.527129
222.338613,6,653.008185
318.111237,11,653.877846
226.24306,3,654.311235
302.273382,42,655.955387
331.44757,30,657.276363
577.891752,46,659.127057
585.43729,40,660.854445
214.785663,12,661.494111
622.639125,31,662.871064
222.136736,6,663.360899
632.198995,5,664.140863
595.378854,29,665.556114
626.554824,7,666.375826
643.851303,15,667.390558
625.244649,12,668.340709
633.044576,1,669.025404
627.928323,6,669.819262
612.534985,13,670.790293
612.396926,19,671.920858
622.653576,8,672.823898
616.477337,19,673.941323
366.342216,1,674.55697
628.222697,27,675.870461
334.29018,1,676.476126
305.322542,16,677.453596
591.601604,37,679.024421
647.246738,13,680.053408
595.195726,31,681.505703
627.832653,5,682.272674
610.814075,17,683.390446
613.85566,16,684.408549
627.523998,6,685.209503
633.562284,5,685.952387
347.154515,4,686.653072
572.713783,6,687.536075
659.86377,6,688.339491
601.909594,21,689.545964
555.844996,19,690.667812
208.207737,17,691.437027
583.856121,44,693.208032
229.0,1,693.569704
628.761609,6,694.391285
631.877765,1,695.057583
631.329036,5,695.837727
229.0,1,696.186349
184.83652,34,697.428846
622.289769,13,698.42476
637.248784,3,699.12376
615.448346,14,700.123846
659.416457,5,700.868287
625.011192,8,701.775226
202.09089,22,702.650642
229.0,1,703.009357
317.271242,17,704.03323
637.654703,4,704.789918
635.95517,1,705.484759
632.639327,6,706.242744
622.711373,14,707.253172
205.952808,19,708.08566
229.0,1,708.489472
647.251952,13,709.453491
348.709946,11,710.289471
211.059674,15,711.023001
637.360448,1,711.701917
578.401528,51,713.71691
218.482921,9,714.305714
595.754869,31,715.733866
626.456939,7,716.534822
615.355412,16,717.589299
597.204076,35,719.09823
229.0,1,719.469116
617.74051,10,720.422251
312.677235,24,721.617808
633.457551,2,722.286345
215.855458,11,722.899558
629.891403,5,723.715901
631.800381,7,724.550922
619.19418,15,725.568513
357.575344,3,726.219157
626.563984,10,727.126668
622.162205,7,727.949538
621.098355,12,728.8823
609.513438,25,730.171286
205.448069,19,731.038069
629.936227,2,731.750407
620.036231,12,732.683348
626.674533,4,733.438257
633.783952,1,734.119732
609.56923,21,735.366152
632.201888,2,736.084545
571.10221,6,736.901802
663.706187,1,737.558702
635.534178,3,738.330095
660.043051,2,738.970193
603.010803,22,740.219292
630.76607,4,740.986603
615.822602,15,742.033576
620.84552,7,742.867044
634.483078,24,744.047945
195.097793,28,745.153073
610.536256,20,746.269813
629.332819,27,747.616462
633.125082,2,748.286151
605.425163,23,749.550526
350.136289,2,750.180698
633.070473,5,750.945652
555.928073,60,753.152534
592.362033,38,754.735224
620.015793,15,755.765285
624.812941,8,756.600959
634.141642,1,757.262893
626.976852,11,758.168787
223.569352,5,758.646293
644.049898,15,759.696007
335.06448,11,760.530972
616.080647,10,761.429333
618.25563,14,762.435605
213.428782,13,763.161941
564.026711,61,765.378406
576.986914,3,766.014949
205.966069,18,766.869347
626.505676,6,767.612515
621.967671,11,768.515484
225.339939,4,768.949038
627.67747,12,769.951426
591.63009,38,771.596149
229.0,1,771.964217
227.791816,2,772.410102
632.603508,5,773.163211
565.758109,55,775.261507
627.614818,5,776.030779
622.758929,10,776.928154
634.005888,3,777.633342
339.549816,11,778.516851
629.421391,7,779.280612
638.258185,2,779.960411
552.902414,20,781.195141
624.884138,6,781.995796
616.123782,20,783.147627
623.243186,14,784.130128
218.802093,9,784.72879
662.209734,4,785.448627
620.835893,10,786.360448
641.528167,1,787.010693
601.734207,49,788.942148
626.018414,7,789.742953
627.927443,28,791.018742
627.52199,12,791.962628
632.561443,1,792.653031
618.849896,13,793.628274
226.469397,3,794.033787
620.756043,14,795.032025
644.527678,14,796.04881
655.545444,6,796.847424
627.178212,5,797.596141
636.093956,4,798.309607
615.789836,15,799.367831
226.223752,3,799.792971
344.053361,6,800.584294
613.246104,13,801.561808
650.800964,11,802.498417
635.551035,1,803.1924
204.078998,21,804.042177
601.72306,26,805.35888
623.063975,9,806.226968
