#{"t_start": 1755046992.0441716, "env_id": "None"}
r,l,t
598.018852,31,665.105196
618.975546,14,666.244174
617.868527,12,667.494513
582.110844,33,669.388861
168.607735,39,671.118858
617.834395,9,672.077049
143.394428,55,674.33969
629.459747,25,675.832393
152.95542,50,677.936317
566.082621,67,680.954106
534.02855,71,684.166332
626.766512,12,685.223401
425.600313,127,690.399588
618.254588,8,691.603595
191.714844,25,693.040745
654.308873,7,694.068743
540.398337,64,697.194602
331.762525,1,697.88212
631.064496,5,698.67517
168.50159,38,700.294174
564.772645,46,702.514704
571.793505,40,704.566081
329.54722,7,705.374261
513.854493,83,709.842396
646.611117,11,711.155039
91.6718,87,715.132434
619.804922,10,716.246049
631.84949,5,717.177852
636.171403,1,717.956657
229.0,1,718.378079
589.919395,30,720.204734
558.390342,55,722.858585
655.402885,9,723.957089
586.899012,54,726.535367
630.722384,3,727.358966
229.0,1,729.448138
583.016738,34,731.328096
221.197387,6,731.867939
589.554299,36,733.821464
-114.192214,200,741.589915
616.328176,12,742.742712
202.770868,18,743.857756
172.075294,38,746.330887
513.994366,79,750.856174
627.373945,10,751.998641
616.609812,16,753.474283
418.408396,153,760.218623
63.84363,109,764.928958
550.388532,58,768.164747
192.549515,23,769.507222
601.534177,25,771.551901
181.618105,32,773.228607
634.758068,2,774.099892
595.487108,27,775.85087
626.317879,6,776.884918
621.452379,13,778.09768
133.372341,63,781.235114
553.536238,57,784.372954
209.686637,14,785.33174
402.337069,124,790.9368
622.744267,10,792.051294
519.943015,86,796.231974
537.698601,73,799.80832
546.719724,58,802.869216
174.675767,36,804.596206
595.488648,35,806.743593
623.373513,14,808.017212
601.495716,18,809.432661
618.517077,16,810.731151
626.56425,6,811.724716
114.413259,75,815.093081
504.826597,87,819.296
526.597809,71,822.793561
331.817143,29,824.559905
390.631201,153,831.358693
629.852982,1,832.127129
583.99487,43,834.862519
617.83329,12,836.518564
201.568933,21,837.979012
634.379622,1,839.044569
639.029995,3,839.883193
578.308684,3,840.769506
424.880232,135,847.282068
271.268016,45,849.887852
624.606178,7,850.962563
198.984718,22,852.105384
479.324308,112,857.455626
455.389432,118,862.248557
612.370555,36,864.378329
227.754206,2,864.904655
217.415288,9,865.590608
462.89394,112,870.523181
534.589211,65,873.613367
338.938008,11,874.656662
293.745402,44,876.903905
588.337985,38,878.843639
630.170499,3,879.576041
596.980693,32,881.404275
618.056932,34,883.453738
509.705763,97,887.592412
575.502846,39,889.60659
486.559649,61,892.461913
579.010882,37,894.35107
613.346861,16,895.638459
618.513498,16,896.83503
