#{"t_start": 1754942248.3724322, "env_id": "None"}
r,l,t
617.148489,16,660.779583
587.44281,33,662.230476
611.969298,16,663.254475
426.474899,129,667.759781
491.112487,59,669.995245
323.576049,31,671.411898
212.847618,12,672.034009
504.221339,92,674.979294
131.88019,66,676.981016
630.851284,6,677.840328
621.208375,10,678.726421
524.839656,65,681.11652
506.152847,85,683.828372
626.13885,25,685.03859
567.06221,45,687.07739
601.898914,22,688.272393
546.555037,61,690.565642
613.954314,18,691.766618
181.367935,35,693.133286
629.150126,3,693.817466
560.136024,47,695.702903
514.103466,78,698.391745
623.66114,9,699.282247
570.505464,48,701.092057
624.943105,7,701.930111
493.683961,93,704.844273
620.172808,6,705.643984
567.583743,49,707.632317
621.63646,13,708.563472
625.567665,10,709.469636
519.294672,82,712.238845
621.375263,9,713.10341
535.304348,87,716.021015
587.011178,30,717.407349
517.27005,76,720.08669
504.607494,85,722.957822
600.657179,23,724.179997
372.837898,173,729.228657
184.709705,30,730.334055
536.924671,70,732.723398
636.429815,19,733.935451
557.41337,55,735.939409
583.583408,35,737.432136
550.684952,58,739.619469
604.844821,28,741.085278
368.797933,187,746.726959
582.750127,35,748.240566
612.46461,15,749.312799
607.93343,25,750.589366
333.8961,19,751.635904
524.585933,78,754.334023
549.469892,58,756.465233
562.067255,56,758.496665
616.176071,13,759.41042
133.998598,66,761.389905
48.49698,121,764.937898
560.815118,55,767.132147
202.872662,19,768.19539
620.578215,14,769.18629
569.686805,45,770.985412
610.595504,17,772.039869
600.874808,22,773.230651
612.317151,20,774.36161
585.334893,33,775.915291
-94.921954,200,781.170438
626.913791,23,782.307284
511.944946,91,785.312353
602.888004,23,786.666385
386.833903,171,791.845342
614.653064,17,792.887341
569.853735,49,794.884097
626.829763,6,795.621366
608.304918,19,796.733144
201.986056,20,797.55864
138.357038,61,799.42762
490.931215,100,802.68765
606.618763,22,803.86689
573.506966,48,805.630295
605.4774,22,806.819554
631.888265,3,807.532379
182.353653,33,808.826515
542.825044,60,811.134403
580.239121,38,812.848178
599.153998,48,814.756496
637.350051,4,815.510149
574.587556,42,817.192103
619.374366,9,817.989568
655.623827,6,818.760101
614.489052,18,819.831231
624.402312,10,820.737716
577.834481,42,822.507525
624.808769,30,823.90311
603.471755,28,825.241823
596.516241,28,826.574253
566.312724,49,828.560248
573.309236,47,830.35247
638.21504,1,831.010731
311.188312,44,832.678521
324.299691,32,834.173445
143.674638,59,836.193489
601.108306,23,837.549256
614.976883,15,838.548517
611.612277,14,839.527639
481.239422,129,843.388342
632.761125,2,844.084997
210.645534,14,844.783132
-97.261397,200,850.154492
625.093411,9,851.037484
630.870158,3,851.744891
620.220312,32,853.172061
538.073883,65,855.458022
624.472512,8,856.423898
602.579018,45,858.358207
573.002095,48,860.149905
569.266179,50,862.189575
271.403529,57,864.284283
634.272861,1,865.011528
602.38177,23,866.294387
644.024923,17,867.362592
618.623799,13,868.359088
201.907338,21,869.247293
567.472743,48,871.380354
630.565649,5,872.17654
571.486435,47,873.994436
628.106067,5,874.772681
213.572027,12,875.418278
624.417791,12,876.480951
312.827069,34,877.981923
628.86092,5,878.74109
573.661259,44,880.478266
639.831661,17,881.52485
590.902554,32,883.109445
593.717851,30,884.625195
594.392258,33,886.254457
621.497925,11,887.160245
563.907652,52,889.090315
556.032586,20,890.193136
601.837795,25,891.467407
621.738765,14,892.447624
224.812472,4,892.869494
276.7085,60,895.054022
614.117075,19,896.161126
597.460836,27,897.42668
591.820187,32,898.8691
548.493641,63,901.153274
337.3253,8,901.959933
613.491821,21,903.250435
608.130861,21,904.554403
563.916078,11,905.523811
624.673966,8,906.353349
155.509263,148,910.778469
132.567756,70,912.830678
352.63541,7,913.65653
616.524216,15,914.664869
165.169387,44,916.129838
633.18956,1,916.797302
617.804787,15,917.751411
598.924002,26,919.049662
574.484849,43,920.785341
210.411227,15,921.578334
491.157144,96,924.580897
568.290617,42,926.213742
559.088646,60,928.494301
657.448876,4,929.258308
628.67442,7,930.044911
630.613226,3,930.879987
620.568995,9,931.758063
626.579451,5,932.507274
404.226842,165,937.594786
500.100448,94,940.589983
226.298595,3,940.991618
594.856667,50,942.94526
215.409978,11,943.531277
577.688249,42,945.250566
347.850631,5,945.979522
623.387892,12,946.937516
637.519853,20,948.072317
208.81897,16,948.802118
219.550376,8,949.340029
601.344949,26,950.725872
468.41491,114,954.605042
138.541986,64,956.672734
634.596565,1,957.337288
625.476469,9,958.377614
564.772783,47,960.165361
604.032403,24,961.416713
542.168498,70,963.86157
220.375349,7,964.395308
579.634808,37,965.94105
229.0,1,966.307336
637.336503,1,966.915762
628.784422,5,967.665395
554.539161,62,969.873638
612.838055,38,971.531913
629.498896,9,972.401423
568.211681,50,974.328986
602.851325,26,975.740227
619.142907,13,976.69509
635.510328,2,977.487306
624.564476,7,978.506843
615.598643,15,979.821785
565.255744,54,982.001727
630.332654,4,982.770203
202.94128,20,983.625177
368.759688,2,984.265417
540.999585,69,986.6518
603.545361,23,987.854344
589.61645,36,989.387377
581.503641,37,990.979102
621.55482,10,991.984559
539.715634,69,994.294162
616.164533,14,995.273344
626.289375,11,996.171412
651.451854,10,997.051687
632.594495,2,997.738224
229.0,1,998.109292
584.539724,56,1000.278664
308.675689,9,1001.075104
632.860983,2,1001.77939
621.488987,10,1002.694841
630.806506,3,1003.536653
610.65782,19,1004.799009
333.024205,21,1006.028893
641.361233,17,1007.080187
623.446455,30,1008.482569
565.12482,50,1010.553918
613.78885,18,1011.639739
619.122654,14,1012.655569
626.747517,6,1013.424265
634.39626,1,1014.079813
225.017479,4,1014.529493
622.408762,10,1015.400439
604.106123,23,1016.624888
326.360493,3,1017.283113
634.555085,1,1018.10531
224.064042,98,1021.574119
589.225712,30,1023.120561
201.672235,21,1023.947493
613.39538,18,1025.160384
629.556885,4,1025.901377
603.511865,24,1027.139174
589.511729,34,1028.646605
551.974962,62,1030.820479
440.921849,140,1035.079285
617.194968,16,1036.103361
621.765216,15,1037.118303
592.143705,29,1038.458492
633.026785,8,1039.287416
452.15963,138,1043.572086
178.814723,37,1044.829538
229.0,1,1045.193304
596.496458,30,1046.586461
302.475647,4,1047.263921
624.509769,8,1048.093348
595.526502,28,1049.428063
592.837959,34,1050.899816
631.582451,4,1051.626426
635.316001,3,1052.382859
623.462539,9,1053.314315
216.846724,10,1054.012488
533.56154,78,1056.673644
610.583046,16,1057.758401
631.077614,4,1058.529518
522.732241,78,1061.325778
566.253257,54,1063.420486
539.820151,71,1065.946799
584.30201,38,1067.88856
632.71119,2,1068.755799
626.20426,6,1069.772403
631.548297,8,1070.832645
583.805453,36,1072.45639
616.96855,18,1073.648412
198.003588,24,1074.840776
577.530177,48,1077.041231
-81.104866,200,1082.854345
330.075515,7,1083.718783
590.127671,33,1085.225505
632.643287,4,1085.949111
629.246495,7,1086.767902
575.066886,45,1088.664846
607.373733,24,1089.920988
564.590059,49,1091.888579
594.985132,33,1093.343589
624.667115,14,1094.319399
620.331551,11,1095.217857
457.914312,132,1099.397646
619.566265,12,1100.450105
619.487841,11,1101.358196
326.750504,25,1102.609957
608.10874,20,1103.748859
634.927674,5,1104.475496
627.353969,7,1105.28888
625.924427,7,1106.125309
199.0136,23,1107.038518
601.590658,25,1108.300845
517.837585,85,1111.128947
596.365912,34,1112.61363
